message_id,tag_id
881,3
292,1
573,1
545,3
8,2
357,1
353,4
168,2
967,1
426,2
3,4
565,4
448,3
214,4
785,1
606,1
834,1
272,2
755,1
611,4
340,4
457,2
345,4
153,2
309,2
333,3
438,4
511,3
680,2
634,1
8,4
743,4
631,2
676,3
3,2
535,3
643,2
80,3
992,4
341,2
686,2
166,1
633,3
960,2
922,2
379,2
413,4
180,4
665,1
427,1
752,2
900,1
99,1
607,2
246,3
671,3
124,2
214,3
391,2
294,4
852,4
734,2
182,4
68,4
517,4
984,2
167,4
61,1
379,2
971,2
105,4
43,3
204,3
394,2
751,2
229,2
312,1
797,2
397,1
704,4
450,3
790,4
632,2
944,2
854,1
167,2
472,4
588,2
676,1
346,3
945,2
116,3
109,2
559,1
842,1
935,4
236,2
639,3
978,3
743,2
358,2
160,4
161,3
763,1
18,2
787,1
999,3
746,3
121,3
786,1
427,2
861,2
144,3
109,1
748,2
417,3
63,1
839,2
279,3
145,1
791,4
369,3
967,3
533,2
84,4
645,3
20,1
925,2
648,1
51,1
752,4
991,3
212,1
123,1
419,3
227,1
457,3
686,3
88,1
268,3
91,4
382,2
146,3
655,2
787,1
85,3
129,1
146,1
113,1
687,4
143,4
476,1
209,1
31,2
53,1
100,3
286,3
689,3
915,4
683,3
6,2
224,1
681,4
659,1
195,3
926,1
291,4
27,3
812,3
470,4
759,2
779,1
811,4
867,2
842,3
739,3
261,1
506,2
791,3
43,2
281,3
791,1
471,3
6,1
477,4
203,2
209,4
884,3
715,4
532,2
173,3
266,4
780,3
532,4
581,3
784,3
741,3
787,4
994,1
174,1
344,1
549,1
71,3
445,4
619,4
61,3
6,3
891,4
917,1
64,3
886,1
401,4
271,4
237,3
845,4
632,3
584,2
646,3
943,4
525,4
995,2
146,1
398,3
534,2
611,4
686,3
258,2
151,1
199,2
801,3
773,4
175,4
497,3
247,1
116,4
131,3
145,1
924,3
549,3
328,2
312,4
981,4
417,2
26,1
719,4
315,4
362,2
345,3
419,4
440,3
603,1
212,4
345,4
224,4
612,3
591,2
549,1
546,2
503,4
578,2
108,2
149,1
509,2
745,2
888,1
190,3
621,2
100,4
998,4
798,3
527,2
701,2
466,1
193,3
399,3
910,4
372,1
23,2
641,3
665,2
432,4
242,4
648,2
848,3
656,2
834,4
708,4
913,3
466,2
149,1
77,3
37,3
793,2
320,1
597,4
720,2
509,1
506,1
207,4
499,2
120,3
393,4
231,1
502,2
735,3
343,3
198,3
747,2
551,1
980,3
51,1
906,3
160,3
258,4
355,3
354,3
553,2
957,1
819,3
202,3
656,4
177,4
49,3
541,3
618,1
58,3
89,2
682,1
750,2
174,2
262,3
748,2
59,2
285,4
423,1
151,2
217,4
540,2
742,3
328,4
974,1
634,1
602,1
810,2
428,2
180,1
479,3
372,3
447,2
157,1
29,3
828,1
39,2
140,1
337,4
759,3
566,1
810,3
658,2
19,3
543,2
635,4
992,1
249,4
923,4
449,1
100,1
813,2
169,3
818,1
817,2
955,3
186,4
263,4
22,2
315,3
100,3
756,3
152,3
497,2
134,1
243,3
155,3
825,1
622,3
42,1
519,4
580,1
933,3
175,1
136,3
549,4
152,2
393,3
257,1
821,4
50,4
437,1
344,3
367,2
779,4
269,4
426,4
563,4
816,4
39,3
684,3
235,3
300,1
823,1
720,4
93,2
312,4
98,3
712,4
877,3
924,4
42,1
864,2
471,2
755,2
375,3
823,3
703,4
867,3
219,4
672,2
550,2
639,2
343,3
45,2
739,1
47,1
642,4
4,4
340,1
346,1
858,2
635,1
982,4
431,3
513,3
589,4
137,2
316,4
860,4
260,1
29,4
550,2
739,1
872,4
161,2
11,2
961,2
492,2
878,3
437,3
526,1
782,4
750,2
934,2
685,2
835,3
859,4
424,2
893,1
431,2
465,2
11,3
162,4
210,4
992,4
495,4
93,1
853,3
393,1
642,4
549,4
187,4
116,2
677,2
573,3
751,2
253,2
78,3
114,3
538,4
197,1
663,1
281,3
978,2
556,2
610,1
566,4
745,4
733,1
474,1
81,4
611,1
912,3
123,2
182,2
198,1
5,4
267,4
479,2
666,3
849,2
589,1
520,1
252,4
526,2
312,4
965,1
819,4
344,2
661,1
891,4
809,2
610,4
502,4
534,3
846,4
551,1
32,4
365,3
453,1
111,3
854,1
131,2
174,4
696,3
387,2
387,4
665,4
892,2
93,4
739,3
619,1
782,3
269,4
